Province/State,Country/Region,Lat,Long,5/1/20
,Afghanistan,33,65,299
,Albania,41.1533,20.1683,533
,Algeria,28.0339,1.6596,2087
,Andorra,42.5063,1.5218,567
,Angola,-11.2027,17.8739,6
,Antigua and Barbuda,17.0608,-61.7964,13
,Argentina,-38.4161,-63.6167,1257
,Armenia,40.0691,45.0382,872
Australian Capital Territory,Australia,-35.4735,149.0124,88
New South Wales,Australia,-33.8688,151.2093,1379
Northern Territory,Australia,-12.4634,130.8456,9
Queensland,Australia,-28.0167,153.4,738
South Australia,Australia,-34.9285,138.6007,331
Tasmania,Australia,-41.4545,145.9707,67
Victoria,Australia,-37.8136,144.9631,1172
Western Australia,Australia,-31.9505,115.8605,340
,Austria,47.5162,14.5501,14467
,Azerbaijan,40.1431,47.5769,1320
,Bahamas,25.0343,-77.3963,20
,Bahrain,26.0275,50.55,1470
,Bangladesh,23.685,90.3563,182
,Barbados,13.1939,-59.5432,57
,Belarus,53.7098,27.9534,2938
,Belgium,50.8333,4,12360
,Belize,13.1939,-59.5432,14
,Benin,9.3077,2.3158,27
,Bhutan,27.5142,90.4336,5
,Bolivia,-16.2902,-63.5887,65
,Bosnia and Herzegovina,43.9159,17.6791,786
,Brazil,-14.235,-51.9253,40903
,Brunei,4.5353,114.7277,131
,Bulgaria,42.7339,25.4858,318
,Burkina Faso,12.2383,-1.5616,583
,Cabo Verde,16.5388,-23.0418,1
,Cambodia,11.55,104.9167,110
,Cameroon,3.848,11.5021,2168
,Canada,56.1304,-106.3468,21044
,Central African Republic,6.6111,20.9394,10
,Chad,15.4542,18.7322,8
,Chile,-35.6751,-71.543,9325
Anhui,China,31.8257,117.2264,984
Beijing,China,40.1824,116.4142,560
Chongqing,China,30.0572,107.874,590
Fujian,China,26.0789,117.9874,368
Gansu,China,37.8099,101.0583,137
Guangdong,China,23.3417,113.4244,1664
Guangxi,China,23.8298,108.7881,252
Guizhou,China,26.8154,106.8748,145
Hainan,China,19.1959,109.7453,162
Hebei,China,39.549,116.1306,317
Heilongjiang,China,47.862,127.7615,513
Henan,China,33.882,113.614,1254
Hong Kong,China,22.3,114.2,901
Hubei,China,30.9756,112.2707,64214
Hunan,China,27.6104,111.7088,1015
Inner Mongolia,China,44.0935,113.9448,108
Jiangsu,China,32.9711,119.455,658
Jiangxi,China,27.614,115.7221,936
Jilin,China,43.6661,126.1923,105
Liaoning,China,41.2956,122.6085,143
Macau,China,22.1667,113.55,40
Ningxia,China,37.2692,106.1655,75
Qinghai,China,35.7452,95.9956,18
Shaanxi,China,35.1917,108.8701,253
Shandong,China,36.3427,118.1498,768
Shanghai,China,31.202,121.4491,564
Shanxi,China,37.5777,112.2922,154
Sichuan,China,30.6171,102.7103,570
Tianjin,China,39.3054,117.323,186
Tibet,China,31.6927,88.0924,1
Xinjiang,China,41.1129,85.2401,73
Yunnan,China,24.974,101.487,188
Zhejiang,China,29.1832,120.0934,1278
,Colombia,4.5709,-74.2973,1288
,Congo (Brazzaville),-4.0383,21.7587,16
,Congo (Kinshasa),-4.0383,21.7587,71
,Costa Rica,9.7489,-83.7534,405
,Cote d'Ivoire,7.54,-5.5471,601
,Croatia,45.1,15.2,1291
,Diamond Princess,0,0,645
,Cuba,22,-80,593
,Cyprus,35.1264,33.4299,98
,Czechia,49.8175,15.473,3793
Faroe Islands,Denmark,61.8926,-6.9118,178
Greenland,Denmark,71.7069,-42.6043,11
,Denmark,56.2639,9.5018,8044
,Djibouti,11.8251,42.5903,805
,Dominica,15.415,-61.371,11
,Dominican Republic,18.7357,-70.1627,1203
,Ecuador,-1.8312,-78.1834,1933
,Egypt,26,30,1441
,El Salvador,13.7942,-88.8965,118
,Equatorial Guinea,1.5,10,7
,Eritrea,15.1794,39.7823,6
,Estonia,58.5953,25.0136,263
,Eswatini,-26.5225,31.4659,8
,Ethiopia,9.145,40.4897,28
,Fiji,-17.7134,178.065,12
,Finland,64,26,2000
French Guiana,France,3.9339,-53.1258,119
French Polynesia,France,-17.6797,149.4068,50
Guadeloupe,France,16.25,-61.5833,97
Martinique,France,14.6415,-61.0242,73
Mayotte,France,-12.8275,45.1662,163
New Caledonia,France,-20.9043,165.618,17
Reunion,France,-21.1351,55.2471,238
Saint Barthelemy,France,17.9,-62.8333,6
St Martin,France,18.0708,-63.0501,19
,France,46.2276,2.2137,54160
,Gabon,-0.8037,11.6094,47
,Gambia,13.4432,-15.3101,2
,Georgia,42.3154,43.3569,152
,Germany,51,9,137086
,Ghana,7.9465,-1.0232,99
,Grenada,12.1165,-61.679,6
,Greece,39.0742,21.8243,577
,Guatemala,15.7835,-90.2308,51
,Guinea,9.9456,-9.6966,344
,Guinea-Bissau,11.8037,-15.1804,3
,Guyana,5,-58.75,9
,Haiti,18.9712,-72.2852,2
,Holy See,41.9029,12.4534,2
,Honduras,15.2,-86.2419,46
,Hungary,47.1625,19.5033,629
,Iceland,64.9631,-19.0208,1861
,India,21,78,9327
,Indonesia,-0.7893,113.9213,1565
,Iran,32,53,81132
,Iraq,33,44,1512
,Ireland,53.1424,-7.6921,9233
,Israel,31,35,10103
,Italy,43,12,79891
,Jamaica,18.1096,-77.2975,37
,Japan,36,138,2364
,Jordan,31.24,36.51,399
,Kazakhstan,48.0196,66.9237,948
,Kenya,-0.0236,37.9062,145
,"Korea, South",36,128,9489
,Kuwait,29.5,47.75,884
,Kyrgyzstan,41.2044,74.7661,725
,Latvia,56.8796,24.6032,133
,Lebanon,33.8547,35.8623,200
,Liberia,6.4281,-9.4295,28
,Libya,26.3351,17.228331,15
,Liechtenstein,47.14,9.55,55
,Lithuania,55.1694,23.8813,713
,Luxembourg,49.8153,6.1296,728
,Madagascar,-18.7669,46.8691,95
,Malaysia,2.5,112.5,4257
,Maldives,3.2028,73.2207,16
,Mali,17.570692,-3.996166,159
,Malta,35.9375,14.3754,375
,Mauritania,21.0079,10.9408,6
,Mauritius,-20.2,57.5,392
,Mexico,23.6345,-102.5528,2627
,Moldova,47.4116,28.3699,1241
,Monaco,43.7333,7.4167,58
,Mongolia,46.8625,103.8467,12
,Montenegro,42.5,19.3,204
,Morocco,31.7917,-7.0926,735
,Mozambique,-18.6657,35.5296,15
,Namibia,-22.9576,18.4904,9
,Nepal,28.1667,84.25,25
Aruba,Netherlands,12.5186,-70.0358,130
Curacao,Netherlands,12.1696,-68.99,11
Sint Maarten,Netherlands,18.0425,-63.0548,30
,Netherlands,52.1326,5.2913,0
,New Zealand,-40.9006,174.886,1503
,Nicaragua,12.8654,-85.2072,7
,Niger,17.6078,8.0817,736
,Nigeria,9.082,8.6753,225
,North Macedonia,41.6086,21.7453,559
,Norway,60.472,8.4689,32
,Oman,21,57,483
,Pakistan,30.3753,69.3451,4051
,Panama,8.538,-80.7821,579
,Papua New Guinea,-6.315,143.9555,0
,Paraguay,-23.4425,-58.4438,118
,Peru,-9.19,-75.0152,10341
,Philippines,13,122,1008
,Poland,51.9194,19.1451,3625
,Portugal,39.3999,-8.2245,2288
,Qatar,25.3548,51.1839,1267
,Romania,45.9432,24.9668,3723
,Russia,60,90,8820
,Rwanda,-1.9403,29.8739,103
,Saint Kitts and Nevis,17.357822,-62.782998,1
,Saint Lucia,13.9094,-60.9789,21
,Saint Vincent and the Grenadines,12.9843,-61.2872,4
,San Marino,43.9424,12.4578,68
,Saudi Arabia,24,45,3017
,Senegal,14.4974,-14.4524,327
,Serbia,44.0165,21.0059,870
,Seychelles,-4.6796,55.492,6
,Singapore,1.2833,103.8333,1239
,Slovakia,48.669,19.699,433
,Slovenia,46.1512,14.9955,270
,Somalia,5.1521,46.1996,19
,South Africa,-30.5595,22.9375,1945
,Spain,40,-4,113386
,Sri Lanka,7,81,143
,Sudan,12.8628,30.2176,39
,Suriname,3.9193,-56.0278,6
,Sweden,63,16,550
,Switzerland,46.8182,8.2275,26398
,Syria,34.8021,38.9968,6
,Taiwan*,23.7,121,390
,Tanzania,-6.369,34.8888,11
,Thailand,15,101,3469
,Timor-Leste,-8.8742,125.7275,1
,Togo,8.6195,0.8248,80
,Trinidad and Tobago,10.6918,-61.2225,137
,Tunisia,34,9,294
,Turkey,38.9637,35.2433,35708
,Uganda,1,32,87
,Ukraine,48.3794,31.1656,883
,United Arab Emirates,24,54,2444
Bermuda,United Kingdom,32.3078,-64.7505,45
Cayman Islands,United Kingdom,19.3133,-81.2546,7
Channel Islands,United Kingdom,49.3723,-2.3644,477
Gibraltar,United Kingdom,36.1408,-5.3536,160
Isle of Man,United Kingdom,54.2361,-4.5481,300
Montserrat,United Kingdom,16.7425,-62.1874,2
,United Kingdom,55.3781,-3.436,0
,Uruguay,-32.5228,-55.7658,463
,US,37.0902,-95.7129,108564
,Uzbekistan,41.3775,64.5853,1935
,Venezuela,6.4238,-66.5897,159
,Vietnam,16,108,284
,Zambia,-15.4167,28.2833,48
,Zimbabwe,-20,30,2
,West Bank and Gaza,31.9522,35.2332,118
,Laos,19.85627,102.495496,12
,Kosovo,42.602636,20.902977,93
,Burma,21.9162,95.956,14
Anguilla,United Kingdom,18.2206,-63.0686,1
British Virgin Islands,United Kingdom,18.4207,-64.64,3
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,1
,MS Zaandam,0,0,0
,Botswana,-22.3285,24.6849,0
,Burundi,-3.3731,29.9189,4
,Sierra Leone,8.460555,-11.779889,21
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,0
,Malawi,-13.254308,34.301525,3
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,31
Saint Pierre and Miquelon,France,46.8852,-56.3159,0
,South Sudan,6.877,31.307,0
,Western Sahara,24.2155,-12.8858,0
,Sao Tome and Principe,0.18636,6.613081,0
,Yemen,15.552727,48.516388,0